id,planet,star,method,year,radius,mass
3827,Kepler-46 b,Kepler-46,Transit,2012,9.057,1907
3828,Kepler-46 c,Kepler-46,Transit Timing Variations,2012,NA,119.499
3829,Kepler-46 d,Kepler-46,Transit,2014,1.64,NA
3830,Kepler-460 c,KIC 5437945,Transit,2016,5.52,NA
3831,Kepler-461 b,Kepler-461,Transit,2016,2.58,NA
3832,Kepler-462 b,Kepler-462,Transit,2016,3,53.9
3833,Kepler-462 c,Kepler-462,Transit,2020,4,6
3834,Kepler-463 b,Kepler-463,Transit,2016,3.05,NA
3835,Kepler-464 b,Kepler-464,Transit,2016,3.3,NA
3836,Kepler-465 b,Kepler-465,Transit,2016,2.95,NA
3837,Kepler-466 b,Kepler-466,Transit,2016,2.85,NA
3838,Kepler-466 c,Kepler-466,Transit,2016,1.25,NA
3839,Kepler-467 b,Kepler-467,Transit,2016,2.25,NA
3840,Kepler-468 b,Kepler-468,Transit,2016,13.34,NA
3841,Kepler-47 b,Kepler-47,Transit,2012,3.05,2.07
3842,Kepler-47 c,Kepler-47,Transit,2012,4.65,3.17
3843,Kepler-47 d,Kepler-47,Transit,2019,7.04,19.02
3844,Kepler-470 b,Kepler-470,Transit,2016,14.44,NA
3845,Kepler-471 b,Kepler-471,Transit,2016,14.96,NA
3846,Kepler-472 b,Kepler-472,Transit,2016,3.22,NA
3847,Kepler-473 b,Kepler-473,Transit,2016,4.08,NA
3848,Kepler-474 b,Kepler-474,Transit,2016,3.06,NA
3849,Kepler-475 b,Kepler-475,Transit,2016,2.49,NA
3850,Kepler-476 b,Kepler-476,Transit,2016,3.08,NA
3851,Kepler-477 b,Kepler-477,Transit,2016,2.07,NA
3852,Kepler-478 b,Kepler-478,Transit,2016,2.71,NA
3853,Kepler-479 b,Kepler-479,Transit,2016,2.12,NA
3854,Kepler-48 b,Kepler-48,Transit,2012,1.88,3.94
3855,Kepler-48 c,Kepler-48,Transit,2012,2.71,14.61
3856,Kepler-48 d,Kepler-48,Transit,2014,2.04,7.93
3857,Kepler-48 e,Kepler-48,Radial Velocity,2014,NA,657
3858,Kepler-480 b,Kepler-480,Transit,2016,2.78,NA
3859,Kepler-481 b,Kepler-481,Transit,2016,2.5,NA
3860,Kepler-482 b,Kepler-482,Transit,2016,2.36,NA
3861,Kepler-483 b,Kepler-483,Transit,2016,3.21,NA
3862,Kepler-484 b,Kepler-484,Transit,2016,2.28,NA
3863,Kepler-485 b,Kepler-485,Transit,2016,14.41,NA
3864,Kepler-487 b,Kepler-487,Transit,2016,11.42,NA
3865,Kepler-487 c,Kepler-487,Transit,2016,2.68,NA
3866,Kepler-487 d,Kepler-487,Transit,2021,2.775,NA
3867,Kepler-488 b,Kepler-488,Transit,2016,15.79,NA
3868,Kepler-489 b,Kepler-489,Transit,2016,7.72,NA
3869,Kepler-49 b,Kepler-49,Transit,2012,2.72,NA
3870,Kepler-49 c,Kepler-49,Transit,2012,2.55,NA
3871,Kepler-49 d,Kepler-49,Transit,2014,1.6,NA
3872,Kepler-49 e,Kepler-49,Transit,2014,1.56,NA
3873,Kepler-490 b,Kepler-490,Transit,2016,11.65,NA
3874,Kepler-491 b,Kepler-491,Transit,2016,8.92,NA
3875,Kepler-493 b,Kepler-493,Transit,2016,15.13,NA
3876,Kepler-494 b,Kepler-494,Transit,2016,7.14,NA
3877,Kepler-495 b,Kepler-495,Transit,2016,5.23,NA
3878,Kepler-495 c,Kepler-495,Transit,2021,1.219,NA
3879,Kepler-496 b,Kepler-496,Transit,2016,2.32,NA
3880,Kepler-497 b,Kepler-497,Transit,2016,6.04,NA
3881,Kepler-498 b,Kepler-498,Transit,2016,3.03,NA
3882,Kepler-499 b,Kepler-499,Transit,2016,2.17,NA
3883,Kepler-5 b,Kepler-5,Transit,2009,15.984,670.93913
3884,Kepler-50 b,Kepler-50,Transit,2012,1.71,NA
3885,Kepler-50 c,Kepler-50,Transit,2012,2.17,NA
3886,Kepler-500 b,Kepler-500,Transit,2016,2.58,NA
3887,Kepler-501 b,Kepler-501,Transit,2016,4.3,NA
3888,Kepler-501 c,Kepler-501,Transit,2021,1.681,NA
3889,Kepler-502 b,Kepler-502,Transit,2016,4.77,NA
3890,Kepler-504 b,Kepler-504,Transit,2016,1.59,NA
3891,Kepler-505 b,Kepler-505,Transit,2016,2.6,NA
3892,Kepler-506 b,Kepler-506,Transit,2016,2.73,NA
3893,Kepler-507 b,Kepler-507,Transit,2016,1.3,NA
3894,Kepler-508 b,Kepler-508,Transit,2016,1.64,NA
3895,Kepler-509 b,Kepler-509,Transit,2016,2.49,NA
3896,Kepler-51 b,Kepler-51,Transit,2012,7.1,2.1
3897,Kepler-51 c,Kepler-51,Transit,2012,9,4
3898,Kepler-51 d,Kepler-51,Transit,2014,9.7,7.6
3899,Kepler-510 b,Kepler-510,Transit,2016,2.47,NA
3900,Kepler-511 b,Kepler-511,Transit,2016,6.35,NA
3901,Kepler-511 c,Kepler-511,Transit,2021,4.21,NA
3902,Kepler-512 b,Kepler-512,Transit,2016,2.69,NA
3903,Kepler-513 b,Kepler-513,Transit,2016,2.2,NA
3904,Kepler-514 b,Kepler-514,Transit,2016,1.72,NA
3905,Kepler-515 b,Kepler-515,Transit,2016,1.46,NA
3906,Kepler-516 b,Kepler-516,Transit,2016,5.74,NA
3907,Kepler-517 b,Kepler-517,Transit,2016,2.67,NA
3908,Kepler-518 b,Kepler-518,Transit,2016,2.11,NA
3909,Kepler-519 b,Kepler-519,Transit,2016,2.1,NA
3910,Kepler-52 b,Kepler-52,Transit,2012,2.1,135
3911,Kepler-52 c,Kepler-52,Transit,2012,1.84,45.4
3912,Kepler-52 d,Kepler-52,Transit,2014,1.95,NA
3913,Kepler-520 b,Kepler-520,Transit,2016,1.66,NA
3914,Kepler-520 c,Kepler-520,Transit,2016,1.07,NA
3915,Kepler-521 b,Kepler-521,Transit,2016,3.18,NA
3916,Kepler-522 b,Kepler-522,Transit,2016,6.91,NA
3917,Kepler-523 b,Kepler-523,Transit,2016,1.96,NA
3918,Kepler-524 b,Kepler-524,Transit,2016,1.91,NA
3919,Kepler-524 c,Kepler-524,Transit,2016,0.96,NA
3920,Kepler-525 b,Kepler-525,Transit,2016,2.63,NA
3921,Kepler-526 b,Kepler-526,Transit,2016,1.99,NA
3922,Kepler-527 b,Kepler-527,Transit,2016,2.84,NA
3923,Kepler-528 b,Kepler-528,Transit,2016,2.08,NA
3924,Kepler-529 b,Kepler-529,Transit,2016,1.86,NA
3925,Kepler-529 c,Kepler-529,Transit,2016,2,NA
3926,Kepler-529 d,Kepler-529,Transit,2021,2.795,NA
3927,Kepler-53 b,Kepler-53,Transit,2012,2.89,111
3928,Kepler-53 c,Kepler-53,Transit,2012,3.17,36
3929,Kepler-53 d,Kepler-53,Transit,2014,2.12,NA
3930,Kepler-530 b,Kepler-530,Transit,2016,3.01,NA
3931,Kepler-531 b,Kepler-531,Transit,2016,2.78,NA
3932,Kepler-532 b,Kepler-532,Transit,2016,2.57,NA
3933,Kepler-533 b,Kepler-533,Transit,2016,3.38,NA
3934,Kepler-534 b,Kepler-534,Transit,2016,2.24,NA
3935,Kepler-534 c,Kepler-534,Transit,2021,1.227,NA
3936,Kepler-535 b,Kepler-535,Transit,2016,2.36,NA
3937,Kepler-536 b,Kepler-536,Transit,2016,3.1,NA
3938,Kepler-537 b,Kepler-537,Transit,2016,1.41,NA
3939,Kepler-538 b,Kepler-538,Transit,2016,2.215,10.6
3940,Kepler-539 b,Kepler-539,Transit,2016,8.373,308.2951
3941,Kepler-539 c,Kepler-539,Transit Timing Variations,2016,NA,762.792
3942,Kepler-54 b,Kepler-54,Transit,2012,2.1,NA
3943,Kepler-54 c,Kepler-54,Transit,2012,1.23,NA
3944,Kepler-54 d,Kepler-54,Transit,2014,1.53,NA
3945,Kepler-540 b,Kepler-540,Transit,2016,2.71,NA
3946,Kepler-541 b,Kepler-541,Transit,2016,3.36,NA
3947,Kepler-542 b,Kepler-542,Transit,2016,1.57,NA
3948,Kepler-543 b,Kepler-543,Transit,2016,2.5,NA
3949,Kepler-544 b,Kepler-544,Transit,2016,2.12,NA
3950,Kepler-545 b,Kepler-545,Transit,2016,2.69,NA
3951,Kepler-546 b,Kepler-546,Transit,2016,7,NA
3952,Kepler-547 b,Kepler-547,Transit,2016,4,NA
3953,Kepler-548 b,Kepler-548,Transit,2016,11.99,NA
3954,Kepler-549 b,Kepler-549,Transit,2016,2.57,NA
3955,Kepler-549 c,Kepler-549,Transit,2016,2.93,NA
3956,Kepler-55 b,Kepler-55,Transit,2012,2.43,NA
3957,Kepler-55 c,Kepler-55,Transit,2012,2.21,NA
3958,Kepler-55 d,Kepler-55,Transit,2014,1.59,NA
3959,Kepler-55 e,Kepler-55,Transit,2014,1.55,NA
3960,Kepler-55 f,Kepler-55,Transit,2014,1.59,NA
3961,Kepler-550 b,Kepler-550,Transit,2016,4.42,NA
3962,Kepler-551 b,Kepler-551,Transit,2016,2.73,NA
3963,Kepler-552 b,Kepler-552,Transit,2016,3.95,NA
3964,Kepler-553 b,Kepler-553,Transit,2016,4.63,NA
3965,Kepler-553 c,Kepler-553,Transit,2016,11.2,NA
3966,Kepler-554 b,Kepler-554,Transit,2016,4.29,NA
3967,Kepler-555 b,Kepler-555,Transit,2016,2.83,NA
3968,Kepler-556 b,Kepler-556,Transit,2016,2.24,NA
3969,Kepler-557 b,Kepler-557,Transit,2016,2.67,NA
3970,Kepler-558 b,Kepler-558,Transit,2016,2.37,NA
3971,Kepler-559 b,Kepler-559,Transit,2016,3.61,NA
3972,Kepler-56 b,Kepler-56,Transit,2012,6.51,22.1
3973,Kepler-56 c,Kepler-56,Transit,2012,9.8,181
3974,Kepler-56 d,Kepler-56,Radial Velocity,2016,NA,NA
3975,Kepler-560 b,Kepler-560,Transit,2016,1.72,NA
3976,Kepler-561 b,Kepler-561,Transit,2016,6.96,NA
3977,Kepler-561 c,Kepler-561,Transit,2016,2.68,NA
3978,Kepler-562 b,Kepler-562,Transit,2016,5.21,NA
3979,Kepler-563 b,Kepler-563,Transit,2016,3.09,NA
3980,Kepler-564 b,Kepler-564,Transit,2016,4.63,NA
3981,Kepler-565 b,Kepler-565,Transit,2016,3.64,NA
3982,Kepler-566 b,Kepler-566,Transit,2016,2.15,NA
3983,Kepler-567 b,Kepler-567,Transit,2016,2.25,NA
3984,Kepler-568 b,Kepler-568,Transit,2016,2.26,NA
3985,Kepler-569 b,Kepler-569,Transit,2016,3.16,NA
3986,Kepler-57 b,Kepler-57,Transit,2012,2.19,115
3987,Kepler-57 c,Kepler-57,Transit,2012,1.55,9.1
3988,Kepler-570 b,Kepler-570,Transit,2016,2.45,NA
3989,Kepler-571 b,Kepler-571,Transit,2016,2.64,NA
3990,Kepler-572 b,Kepler-572,Transit,2016,2.58,NA
3991,Kepler-573 b,Kepler-573,Transit,2016,2.79,NA
3992,Kepler-574 b,Kepler-574,Transit,2016,2.39,NA
3993,Kepler-575 b,Kepler-575,Transit,2016,2.39,NA
3994,Kepler-576 b,Kepler-576,Transit,2016,3.27,NA
3995,Kepler-577 b,Kepler-577,Transit,2016,2.55,NA
3996,Kepler-578 b,Kepler-578,Transit,2016,2,NA
3997,Kepler-579 b,Kepler-579,Transit,2016,2,NA
3998,Kepler-58 b,Kepler-58,Transit,2012,2.78,35.5
3999,Kepler-58 c,Kepler-58,Transit,2012,2.86,53
4000,Kepler-58 d,Kepler-58,Transit,2014,2.94,NA
4001,Kepler-580 b,Kepler-580,Transit,2016,2.57,NA
4002,Kepler-581 b,Kepler-581,Transit,2016,2.63,NA
4003,Kepler-582 b,Kepler-582,Transit,2016,3.68,NA
4004,Kepler-583 b,Kepler-583,Transit,2016,2.28,NA
4005,Kepler-584 b,Kepler-584,Transit,2016,4.21,NA
4006,Kepler-585 b,Kepler-585,Transit,2016,2.83,NA
4007,Kepler-586 b,Kepler-586,Transit,2016,2.79,NA
4008,Kepler-587 b,Kepler-587,Transit,2016,2.23,NA
4009,Kepler-588 b,Kepler-588,Transit,2016,2.63,NA
4010,Kepler-589 b,Kepler-589,Transit,2016,2.27,NA
4011,Kepler-589 c,Kepler-589,Transit,2021,1.117,NA
4012,Kepler-59 b,Kepler-59,Transit,2012,1.1,NA
4013,Kepler-59 c,Kepler-59,Transit,2012,1.98,NA
4014,Kepler-590 b,Kepler-590,Transit,2016,4.02,NA
4015,Kepler-591 b,Kepler-591,Transit,2016,3.39,NA
4016,Kepler-592 b,Kepler-592,Transit,2016,2.39,NA
4017,Kepler-593 b,Kepler-593,Transit,2016,2.87,NA
4018,Kepler-594 b,Kepler-594,Transit,2016,2.18,NA
4019,Kepler-595 b,Kepler-595,Transit,2016,3.708,17.4
4020,Kepler-595 c,Kepler-595,Transit,2020,1.009,3.3
4021,Kepler-596 b,Kepler-596,Transit,2016,3.46,NA
4022,Kepler-597 b,Kepler-597,Transit,2016,2.37,NA
4023,Kepler-598 b,Kepler-598,Transit,2016,1.5,NA
4024,Kepler-598 c,Kepler-598,Transit,2020,3.024,NA
4025,Kepler-599 b,Kepler-599,Transit,2016,2.84,NA
4026,Kepler-6 b,Kepler-6,Transit,2009,14.617,212.31044
4027,Kepler-60 b,Kepler-60,Transit,2012,1.71,4.19
4028,Kepler-60 c,Kepler-60,Transit,2012,1.9,3.85
4029,Kepler-60 d,Kepler-60,Transit,2012,1.99,4.16
4030,Kepler-600 b,Kepler-600,Transit,2016,2.9,NA
4031,Kepler-601 b,Kepler-601,Transit,2016,1.9,NA
4032,Kepler-602 b,Kepler-602,Transit,2016,2.09,NA
4033,Kepler-603 b,Kepler-603,Transit,2016,2.65,NA
4034,Kepler-603 c,Kepler-603,Transit,2016,6.5,NA
4035,Kepler-603 d,Kepler-603,Transit,2016,1.32,NA
4036,Kepler-604 b,Kepler-604,Transit,2016,2.59,NA
4037,Kepler-605 b,Kepler-605,Transit,2016,1.44,NA
4038,Kepler-605 c,Kepler-605,Transit,2016,0.86,NA
4039,Kepler-606 b,Kepler-606,Transit,2016,3.31,NA
4040,Kepler-607 b,Kepler-607,Transit,2016,0.87,NA
4041,Kepler-607 c,Kepler-607,Transit,2021,2.76,NA
4042,Kepler-608 b,Kepler-608,Transit,2016,3.64,NA
4043,Kepler-609 b,Kepler-609,Transit,2016,3.35,NA
4044,Kepler-61 b,Kepler-61,Transit,2013,2.15,NA
4045,Kepler-610 b,Kepler-610,Transit,2016,4.19,NA
4046,Kepler-610 c,Kepler-610,Transit,2016,3.3,NA
4047,Kepler-611 b,Kepler-611,Transit,2016,1.65,NA
4048,Kepler-612 b,Kepler-612,Transit,2016,2.84,NA
4049,Kepler-613 b,Kepler-613,Transit,2016,2.29,NA
4050,Kepler-614 b,Kepler-614,Transit,2016,2.39,NA
4051,Kepler-615 b,Kepler-615,Transit,2016,1.74,NA
4052,Kepler-616 b,Kepler-616,Transit,2016,2.43,NA
4053,Kepler-616 c,Kepler-616,Transit,2016,3.41,NA
4054,Kepler-616 d,Kepler-616,Transit,2021,2.653,NA
4055,Kepler-617 b,Kepler-617,Transit,2016,1.32,NA
4056,Kepler-618 b,Kepler-618,Transit,2016,2.6,NA
4057,Kepler-619 b,Kepler-619,Transit,2016,3.16,NA
4058,Kepler-619 c,Kepler-619,Transit,2016,1.69,NA
4059,Kepler-62 b,Kepler-62,Transit,2013,1.31,9
4060,Kepler-62 c,Kepler-62,Transit,2013,0.54,4
4061,Kepler-62 d,Kepler-62,Transit,2013,1.95,14
4062,Kepler-62 e,Kepler-62,Transit,2013,1.61,36
4063,Kepler-62 f,Kepler-62,Transit,2013,1.41,35
4064,Kepler-620 b,Kepler-620,Transit,2016,3.32,NA
4065,Kepler-621 b,Kepler-621,Transit,2016,2.3,NA
4066,Kepler-622 b,Kepler-622,Transit,2016,2.13,NA
4067,Kepler-623 b,Kepler-623,Transit,2016,3.01,NA
4068,Kepler-624 b,Kepler-624,Transit,2016,2.31,NA
4069,Kepler-625 b,Kepler-625,Transit,2016,1.99,NA
4070,Kepler-625 c,Kepler-625,Transit,2016,1.05,NA
4071,Kepler-626 b,Kepler-626,Transit,2016,2.29,NA
4072,Kepler-627 b,Kepler-627,Transit,2016,3.73,NA
4073,Kepler-628 b,Kepler-628,Transit,2016,8.4,NA
4074,Kepler-629 b,Kepler-629,Transit,2016,1.38,NA
4075,Kepler-63 b,Kepler-63,Transit,2013,6.11,120
4076,Kepler-630 b,Kepler-630,Transit,2016,3.18,NA
4077,Kepler-631 b,Kepler-631,Transit,2016,2.9,NA
4078,Kepler-632 b,Kepler-632,Transit,2016,2.21,NA
4079,Kepler-633 b,Kepler-633,Transit,2016,1.63,NA
4080,Kepler-633 c,Kepler-633,Transit,2021,2.296,NA
4081,Kepler-634 b,Kepler-634,Transit,2016,1.89,NA
4082,Kepler-635 b,Kepler-635,Transit,2016,2.64,NA
4083,Kepler-636 b,Kepler-636,Transit,2016,4.45,NA
4084,Kepler-637 b,Kepler-637,Transit,2016,4.75,NA
4085,Kepler-638 b,Kepler-638,Transit,2016,1.83,NA
4086,Kepler-639 b,Kepler-639,Transit,2016,2.38,NA
4087,Kepler-640 b,Kepler-640,Transit,2016,2.56,NA
4088,Kepler-641 b,Kepler-641,Transit,2016,1.85,NA
4089,Kepler-642 b,Kepler-642,Transit,2016,2.9,NA
4090,Kepler-643 b,Kepler-643,Transit,2016,10.16,NA
4091,Kepler-644 b,Kepler-644,Transit,2016,3.15,NA
4092,Kepler-645 b,Kepler-645,Transit,2016,2.1,NA
4093,Kepler-646 b,Kepler-646,Transit,2016,1.99,NA
4094,Kepler-647 b,Kepler-647,Transit,2016,1.17,NA
4095,Kepler-647 c,Kepler-647,Transit,2020,4.001,NA
4096,Kepler-648 b,Kepler-648,Transit,2016,3.22,NA
4097,Kepler-649 b,Kepler-649,Transit,2016,2.26,NA
4098,Kepler-65 b,Kepler-65,Transit,2012,1.42,NA
4099,Kepler-65 c,Kepler-65,Transit,2012,2.58,NA
4100,Kepler-65 d,Kepler-65,Transit,2012,1.52,NA
4101,Kepler-65 e,Kepler-65,Radial Velocity,2019,NA,260
4102,Kepler-650 b,Kepler-650,Transit,2016,2.96,NA
4103,Kepler-651 b,Kepler-651,Transit,2016,2.37,NA
4104,Kepler-652 b,Kepler-652,Transit,2016,2.49,NA
4105,Kepler-653 b,Kepler-653,Transit,2016,1.95,NA
4106,Kepler-653 c,Kepler-653,Transit,2016,0.78,NA
4107,Kepler-654 b,Kepler-654,Transit,2016,2.07,NA
4108,Kepler-655 b,Kepler-655,Transit,2016,2.71,NA
4109,Kepler-656 b,Kepler-656,Transit,2016,3.12,NA
4110,Kepler-657 b,Kepler-657,Transit,2016,3.52,NA
4111,Kepler-658 b,Kepler-658,Transit,2016,1.63,NA
4112,Kepler-659 b,Kepler-659,Transit,2016,2.5,NA
4113,Kepler-66 b,Kepler-66,Transit,2013,2.8,NA
4114,Kepler-660 b,Kepler-660,Transit,2016,2.57,NA
4115,Kepler-661 b,Kepler-661,Transit,2016,3.07,NA
4116,Kepler-662 b,Kepler-662,Transit,2016,2.18,NA
4117,Kepler-663 b,Kepler-663,Transit,2016,2.6,NA
4118,Kepler-664 b,Kepler-664,Transit,2016,2.66,NA
4119,Kepler-665 b,Kepler-665,Transit,2016,2.6,NA
4120,Kepler-666 b,Kepler-666,Transit,2016,2.4,NA
4121,Kepler-667 b,Kepler-667,Transit,2016,4.73,NA
4122,Kepler-668 b,Kepler-668,Transit,2016,2.7,NA
4123,Kepler-669 b,Kepler-669,Transit,2016,4.83,NA
4124,Kepler-67 b,Kepler-67,Transit,2013,2.94,NA
4125,Kepler-670 b,Kepler-670,Transit,2016,13.18,NA
4126,Kepler-671 b,Kepler-671,Transit,2016,2.69,NA
4127,Kepler-672 b,Kepler-672,Transit,2016,2.5,NA
4128,Kepler-673 b,Kepler-673,Transit,2016,6.54,NA
4129,Kepler-674 b,Kepler-674,Transit,2016,1.69,NA
4130,Kepler-675 b,Kepler-675,Transit,2016,2.44,NA
4131,Kepler-676 b,Kepler-676,Transit,2016,3.04,NA
4132,Kepler-677 b,Kepler-677,Transit,2016,5.38,NA
4133,Kepler-678 b,Kepler-678,Transit,2016,5.14,NA
4134,Kepler-679 b,Kepler-679,Transit,2016,3.01,NA
4135,Kepler-68 b,Kepler-68,Transit,2013,NA,7.65
4136,Kepler-68 c,Kepler-68,Transit,2013,NA,2.04
4137,Kepler-68 d,Kepler-68,Radial Velocity,2013,NA,NA
4138,Kepler-680 b,Kepler-680,Transit,2016,2.42,NA
4139,Kepler-681 b,Kepler-681,Transit,2016,3.08,NA
4140,Kepler-682 b,Kepler-682,Transit,2016,7.37,NA
4141,Kepler-683 b,Kepler-683,Transit,2016,1.97,NA
4142,Kepler-684 b,Kepler-684,Transit,2016,3.36,NA
4143,Kepler-685 b,Kepler-685,Transit,2016,10.58,NA
4144,Kepler-686 b,Kepler-686,Transit,2016,12.15,NA
4145,Kepler-687 b,Kepler-687,Transit,2016,3.52,NA
4146,Kepler-688 b,Kepler-688,Transit,2016,9.76,NA
4147,Kepler-689 b,Kepler-689,Transit,2016,2.89,NA
4148,Kepler-69 b,Kepler-69,Transit,2013,2.24,NA
4149,Kepler-69 c,Kepler-69,Transit,2013,1.71,NA
4150,Kepler-690 b,Kepler-690,Transit,2016,5.95,NA
4151,Kepler-691 b,Kepler-691,Transit,2016,2.09,NA
4152,Kepler-692 b,Kepler-692,Transit,2016,3.11,NA
4153,Kepler-693 b,Kepler-693,Transit,2016,10.18,NA
4154,Kepler-694 b,Kepler-694,Transit,2016,2.8,NA
4155,Kepler-695 b,Kepler-695,Transit,2016,9.21,NA
4156,Kepler-696 b,Kepler-696,Transit,2016,6.14,NA
4157,Kepler-697 b,Kepler-697,Transit,2016,4.13,NA
4158,Kepler-698 b,Kepler-698,Transit,2016,3.68,NA
4159,Kepler-7 b,Kepler-7,Transit,2009,18.181,140.16303
4160,Kepler-700 b,Kepler-700,Transit,2016,5.99,NA
4161,Kepler-701 b,Kepler-701,Transit,2016,2.84,NA
4162,Kepler-702 b,Kepler-702,Transit,2016,9.17,NA
4163,Kepler-703 b,Kepler-703,Transit,2016,8.2,NA
4164,Kepler-704 b,Kepler-704,Transit,2016,2.61,NA
4165,Kepler-705 b,Kepler-705,Transit,2016,2.11,NA
4166,Kepler-706 b,Kepler-706,Transit,2016,13.17,NA
4167,Kepler-707 b,Kepler-707,Transit,2016,1.33,NA
4168,Kepler-708 b,Kepler-708,Transit,2016,2.93,NA
4169,Kepler-709 b,Kepler-709,Transit,2016,2.92,NA
4170,Kepler-710 b,Kepler-710,Transit,2016,1.88,NA
4171,Kepler-711 b,Kepler-711,Transit,2016,3.41,NA
4172,Kepler-712 b,Kepler-712,Transit,2016,3.41,NA
4173,Kepler-712 c,Kepler-712,Transit,2016,4.85,NA
4174,Kepler-713 b,Kepler-713,Transit,2016,2.48,NA
4175,Kepler-714 b,Kepler-714,Transit,2016,9.67,NA
4176,Kepler-715 b,Kepler-715,Transit,2016,3.75,NA
4177,Kepler-716 b,Kepler-716,Transit,2016,2.9,NA
4178,Kepler-716 c,Kepler-716,Transit,2020,1.393,NA
4179,Kepler-717 b,Kepler-717,Transit,2016,2.42,NA
4180,Kepler-718 b,Kepler-718,Transit,2016,16.56,NA
4181,Kepler-719 b,Kepler-719,Transit,2016,8.52,NA
4182,Kepler-720 b,Kepler-720,Transit,2016,8.41,NA
4183,Kepler-721 b,Kepler-721,Transit,2016,2.64,NA
4184,Kepler-722 b,Kepler-722,Transit,2016,2.63,NA
4185,Kepler-722 c,Kepler-722,Transit,2016,2.82,NA
4186,Kepler-723 b,Kepler-723,Transit,2016,12.19,NA
4187,Kepler-724 b,Kepler-724,Transit,2016,3.29,NA
4188,Kepler-725 b,Kepler-725,Transit,2016,10.63,NA
4189,Kepler-726 b,Kepler-726,Transit,2016,3.26,NA
4190,Kepler-727 b,Kepler-727,Transit,2016,2.53,NA
4191,Kepler-728 b,Kepler-728,Transit,2016,3.34,NA
4192,Kepler-729 b,Kepler-729,Transit,2016,3.58,NA
4193,Kepler-730 b,Kepler-730,Transit,2016,12.33,NA
4194,Kepler-730 c,Kepler-730,Transit,2018,1.569,NA
4195,Kepler-731 b,Kepler-731,Transit,2016,13.88,NA
4196,Kepler-732 b,Kepler-732,Transit,2016,2.18,NA
4197,Kepler-732 c,Kepler-732,Transit,2016,1.27,NA
4198,Kepler-733 b,Kepler-733,Transit,2016,2.82,NA
4199,Kepler-734 b,Kepler-734,Transit,2016,3.56,NA
4200,Kepler-735 b,Kepler-735,Transit,2016,2.95,NA
4201,Kepler-736 b,Kepler-736,Transit,2016,2.93,NA
4202,Kepler-737 b,Kepler-737,Transit,2016,1.96,NA
4203,Kepler-738 b,Kepler-738,Transit,2016,2.5,NA
4204,Kepler-739 b,Kepler-739,Transit,2016,3.32,NA
4205,Kepler-74 b,Kepler-74,Transit,2013,10.76,200.22
4206,Kepler-740 b,Kepler-740,Transit,2016,4.57,NA
4207,Kepler-741 b,Kepler-741,Transit,2016,2.97,NA
4208,Kepler-742 b,Kepler-742,Transit,2016,3.24,NA
4209,Kepler-743 b,Kepler-743,Transit,2016,1.21,NA
4210,Kepler-744 b,Kepler-744,Transit,2016,1.62,NA
4211,Kepler-745 b,Kepler-745,Transit,2016,2.16,NA
4212,Kepler-746 b,Kepler-746,Transit,2016,1.11,NA
4213,Kepler-747 b,Kepler-747,Transit,2016,5.27,NA
4214,Kepler-748 b,Kepler-748,Transit,2016,2.52,NA
4215,Kepler-749 b,Kepler-749,Transit,2016,3.1,NA
4216,Kepler-75 b,Kepler-75,Transit,2013,11.77,3209.9
4217,Kepler-750 b,Kepler-750,Transit,2016,3.07,NA
4218,Kepler-750 c,Kepler-750,Transit,2016,1.62,NA
4219,Kepler-751 b,Kepler-751,Transit,2016,2.46,NA
4220,Kepler-752 b,Kepler-752,Transit,2016,2.81,NA
4221,Kepler-753 b,Kepler-753,Transit,2016,1.91,NA
4222,Kepler-754 b,Kepler-754,Transit,2016,2.01,NA
4223,Kepler-755 b,Kepler-755,Transit,2016,1.76,NA
4224,Kepler-755 c,Kepler-755,Transit,2016,1.26,NA
4225,Kepler-756 b,Kepler-756,Transit,2016,1.12,NA
4226,Kepler-757 b,Kepler-757,Transit,2016,1.36,NA
4227,Kepler-758 b,Kepler-758,Transit,2016,2.48,NA
4228,Kepler-758 c,Kepler-758,Transit,2016,1.69,NA
4229,Kepler-758 d,Kepler-758,Transit,2016,2.12,NA
4230,Kepler-758 e,Kepler-758,Transit,2016,1.53,NA
4231,Kepler-759 b,Kepler-759,Transit,2016,2.27,NA
4232,Kepler-76 b,Kepler-76,Orbital Brightness Modulation,2013,15.244,638.8383
4233,Kepler-760 b,Kepler-760,Transit,2016,3.06,NA
4234,Kepler-760 c,Kepler-760,Transit,2016,1.48,NA
4235,Kepler-761 b,Kepler-761,Transit,2016,2.03,NA
4236,Kepler-762 b,Kepler-762,Transit,2016,12.68,NA
4237,Kepler-763 b,Kepler-763,Transit,2016,1.22,NA
4238,Kepler-764 b,Kepler-764,Transit,2016,1.64,NA
4239,Kepler-765 b,Kepler-765,Transit,2016,2.43,NA
4240,Kepler-766 b,Kepler-766,Transit,2016,3.39,NA
4241,Kepler-767 b,Kepler-767,Transit,2016,6.64,NA
4242,Kepler-768 b,Kepler-768,Transit,2016,1.79,NA
4243,Kepler-769 b,Kepler-769,Transit,2016,2.92,NA
4244,Kepler-769 c,Kepler-769,Transit,2016,1.79,NA
4245,Kepler-77 b,Kepler-77,Transit,2013,10.761,136.661
4246,Kepler-770 b,Kepler-770,Transit,2016,2.3,NA
4247,Kepler-770 c,Kepler-770,Transit,2016,1.2,NA
4248,Kepler-770 d,Kepler-770,Transit,2016,1.4,NA
